"Estimates of the components of demographic growth, annual 1",,,,,,,,,,
Annual,,,,,,,,,,
Table: 17-10-0008-01 (formerly CANSIM 051-0004),,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,
,,,,,,,,,,
Geography,Reference period,Births 2 3,Deaths 4 5,Immigrants 6,Emigrants 7 8,Returning emigrants 8 9,Net temporary emigrants 8 10,Net interprovincial migration 11,Net non-permanent residents 12 13 14,Residual deviation 15
,,Persons,,,,,,,,
Canada,1997 / 1998,"345,123","217,688","194,459","51,816","18,671","25,563",..,"-3,983","9,978"
Canada,1998 / 1999,"338,295","217,632","173,194","48,008","17,491","25,567",0,"18,317","9,977"
Canada,1999 / 2000,"336,912","217,229","205,710","48,089","17,680","25,564",0,"25,032","10,008"
Canada,2000 / 2001,"327,107","219,114","252,527","47,766","17,910","25,563",0,"39,592","9,521"
Canada,2001 / 2002,"328,155","220,494","256,405","50,149","25,727","27,558",0,"33,510","6,419"
Canada,2002 / 2003,"330,523","223,905","199,170","53,890","29,257","27,559",0,"36,771","6,418"
Canada,2003 / 2004,"337,762","228,829","239,083","58,184","30,441","27,560",0,"10,348","6,434"
Canada,2004 / 2005,"339,270","229,906","244,578","57,633","31,620","27,559",0,"9,148","6,420"
Canada,2005 / 2006,"346,082","225,489","254,374","61,412","34,711","27,558",0,"15,978","9,265"
Canada,2006 / 2007,"360,916","233,825","238,125","66,512","39,235","18,523",0,"27,424","28,989"
Canada,2007 / 2008,"373,695","236,525","249,622","66,158","33,576","18,525",0,"51,478","29,070"
Canada,2008 / 2009,"379,290","237,708","245,289","61,531","32,069","18,529",0,"71,886","28,989"
Canada,2009 / 2010,"379,373","237,138","270,581","58,046","34,496","18,524",0,"34,243","28,991"
Canada,2010 / 2011,"376,951","245,495","259,110","61,466","37,126","18,522",0,"14,733","27,998"
Canada,2011 / 2012,"378,840","242,410","260,036","65,393","37,170","26,663",0,"55,414","22,100"
Canada,2012 / 2013,"381,607","251,656","263,101","62,129","36,994","26,667",0,"49,521","22,039"
Canada,2013 / 2014,"382,281","253,052","267,924","63,722","36,889","26,668",0,"32,867","22,038"
Canada,2014 / 2015,"383,315","266,161","240,763","65,837","38,458","26,665",0,"-16,365","22,035"
Canada,2015 / 2016,"383,579","262,087","323,192","67,893","39,660","26,664",0,"35,752","18,960"
Canada,2016 / 2017,"379,675","274,457","272,707","60,237","40,020","26,968",0,"103,094",0
Canada,2017 / 2018,"378,848","282,677","303,325","60,950","40,489","27,290",0,"162,699",..
Newfoundland and Labrador,1997 / 1998,"5,245","4,340",411,297,66,105,"-9,490",-285,"2,273"
,1998 / 1999,"4,899","4,095",368,167,110,106,"-5,695",446,"2,274"
,1999 / 2000,"5,060","4,232",425,332,61,105,"-4,263",303,"2,280"
,2000 / 2001,"4,732","4,233",445,286,94,105,"-4,493",-135,"1,939"
,2001 / 2002,"4,636","4,126",414,265,97,354,"-3,352",57,-328
,2002 / 2003,"4,596","4,276",316,215,190,354,"-1,683",76,-328
,2003 / 2004,"4,598","4,254",536,200,159,355,"-2,027",178,-329
,2004 / 2005,"4,543","4,434",541,238,107,354,"-3,710",127,-327
,2005 / 2006,"4,526","4,392",452,325,194,352,"-4,342",-69,-568
,2006 / 2007,"4,495","4,677",516,222,176,127,"-4,067",142,"-2,227"
,2007 / 2008,"4,664","4,519",635,312,231,127,-528,249,"-2,233"
,2008 / 2009,"4,925","4,360",571,346,219,129,"1,877",185,"-2,228"
,2009 / 2010,"4,945","4,432",680,147,146,126,"1,558",407,"-2,227"
,2010 / 2011,"4,775","4,541",699,328,222,126,30,377,"-1,882"
,2011 / 2012,"4,371","4,635",742,204,151,140,545,711,195
,2012 / 2013,"4,451","4,735",678,416,177,142,495,456,195
,2013 / 2014,"4,594","4,804","1,026",227,141,140,234,416,195
,2014 / 2015,"4,466","5,262",847,258,139,142,161,201,194
,2015 / 2016,"4,430","5,016","1,420",293,98,140,232,746,168
,2016 / 2017,"4,382","5,149","1,021",327,145,142,"-1,430",430,0
,2017 / 2018,"4,064","5,222","1,275",330,145,143,"-2,733",192,..
Prince Edward Island,1997 / 1998,"1,530","1,132",123,89,62,34,-416,-38,297
,1998 / 1999,"1,539","1,108",125,116,30,35,193,145,296
,1999 / 2000,"1,529","1,182",142,63,20,35,104,-29,297
,2000 / 2001,"1,381","1,209",189,90,47,34,165,4,258
,2001 / 2002,"1,313","1,205",145,68,67,94,62,-7,-2
,2002 / 2003,"1,374","1,217",89,52,52,95,165,30,-1
,2003 / 2004,"1,403","1,225",268,170,102,96,144,25,-2
,2004 / 2005,"1,371","1,126",312,47,48,95,-139,58,-2
,2005 / 2006,"1,329","1,165",352,83,83,96,-639,76,54
,2006 / 2007,"1,428","1,143",738,76,67,35,-849,149,435
,2007 / 2008,"1,447","1,166","1,282",81,80,36,-291,239,436
,2008 / 2009,"1,471","1,274","1,723",60,60,34,-536,227,435
,2009 / 2010,"1,407","1,177","1,792",30,29,34,60,151,435
,2010 / 2011,"1,428","1,177","2,611",138,50,34,-210,230,451
,2011 / 2012,"1,404","1,250","1,375",56,53,39,-618,248,550
,2012 / 2013,"1,339","1,239",863,158,112,40,-901,136,548
,2013 / 2014,"1,397","1,270","1,406",90,89,41,-941,188,549
,2014 / 2015,"1,374","1,359","1,341",143,47,40,-682,273,548
,2015 / 2016,"1,397","1,114","2,015",108,34,39,30,680,472
,2016 / 2017,"1,387","1,272","2,263",104,94,40,444,742,0
,2017 / 2018,"1,363","1,353","2,102",104,94,40,177,862,..
Nova Scotia,1997 / 1998,"9,843","8,063","2,590",793,273,375,"-2,569",327,"1,799"
,1998 / 1999,"9,490","7,734","1,624",966,427,375,201,"1,080","1,799"
,1999 / 2000,"9,514","7,799","1,674",902,412,374,-270,-414,"1,804"
,2000 / 2001,"8,922","7,847","1,747","1,049",326,375,"-2,077",482,"1,456"
,2001 / 2002,"8,693","7,922","1,609",977,456,650,-898,"1,509",-865
,2002 / 2003,"8,635","7,944","1,257","1,020",598,651,510,288,-865
,2003 / 2004,"8,713","8,269","1,707","1,089",726,648,-772,712,-867
,2004 / 2005,"8,575","8,372","1,708","1,367",664,650,"-3,041",-119,-864
,2005 / 2006,"8,479","7,968","2,197",983,645,651,"-3,024",627,-634
,2006 / 2007,"8,675","8,372","2,715","1,152",828,231,"-4,126",-138,966
,2007 / 2008,"9,114","8,240","2,668",908,733,230,"-1,794",408,969
,2008 / 2009,"8,930","8,073","2,446",960,642,229,-751,"1,273",967
,2009 / 2010,"9,096","8,302","2,413",897,626,230,612,"1,547",966
,2010 / 2011,"8,818","8,621","2,292","1,118",621,230,-41,"1,465","1,019"
,2011 / 2012,"8,911","8,350","2,360","1,265",626,251,"-2,866","1,533","1,337"
,2012 / 2013,"8,514","8,700","2,246","1,054",589,250,"-3,517",304,"1,333"
,2013 / 2014,"8,382","8,618","2,779","1,029",637,251,"-2,571",115,"1,333"
,2014 / 2015,"8,523","9,345","2,688",989,516,248,"-2,311",479,"1,333"
,2015 / 2016,"8,359","8,951","5,442","1,074",647,249,754,"2,484","1,147"
,2016 / 2017,"8,224","9,351","4,357",873,699,252,"2,839","1,968",0
,2017 / 2018,"8,303","9,686","5,137",884,705,254,"3,048","2,730",..
New Brunswick,1997 / 1998,"7,952","6,132",717,565,372,223,"-3,192",6,916
,1998 / 1999,"7,674","6,133",752,451,271,223,"-1,244",342,917
,1999 / 2000,"7,651","6,085",609,614,255,222,"-1,183",424,919
,2000 / 2001,"7,202","5,972",874,654,181,223,"-1,530",292,867
,2001 / 2002,"6,971","6,065",765,686,415,517,"-1,218",423,536
,2002 / 2003,"7,104","6,181",645,422,423,517,-843,395,535
,2003 / 2004,"7,072","6,373",760,450,449,518,-760,335,537
,2004 / 2005,"6,874","6,191",865,566,428,518,"-2,074",356,536
,2005 / 2006,"6,869","5,987","1,386",739,424,515,"-3,487",118,505
,2006 / 2007,"7,127","6,194","1,616",467,467,183,"-2,632",368,290
,2007 / 2008,"7,269","6,459","1,797",637,495,183,-908,360,290
,2008 / 2009,"7,440","6,348","1,918",422,383,184,-237,819,290
,2009 / 2010,"7,390","6,306","1,928",533,459,183,571,43,290
,2010 / 2011,"7,140","6,467","1,986",352,344,184,-158,436,75
,2011 / 2012,"7,246","6,358","2,263",421,347,202,"-1,806",382,"-1,222"
,2012 / 2013,"6,927","6,529","2,024",311,310,204,"-3,290",21,"-1,218"
,2013 / 2014,"7,045","6,613","2,293",406,293,203,"-3,517",321,"-1,219"
,2014 / 2015,"6,693","7,349","2,797",505,224,203,"-2,790",-220,"-1,219"
,2015 / 2016,"6,647","6,954","4,458",475,286,204,"-1,113",815,"-1,048"
,2016 / 2017,"6,593","7,393","3,448",324,266,206,434,594,0
,2017 / 2018,"6,550","7,609","4,116",326,268,207,481,886,..
Quebec,1997 / 1998,"77,395","54,365","27,242","9,228","2,851","4,073","-16,958","-1,585",-45
,1998 / 1999,"74,292","54,465","27,739","8,442","2,484","4,074","-13,065","2,802",-44
,1999 / 2000,"73,900","52,963","30,250","7,593","2,620","4,075","-12,146","3,664",-44
,2000 / 2001,"71,825","54,017","36,716","8,159","3,225","4,074","-9,442","3,938",507
,2001 / 2002,"72,603","54,738","39,114","7,455","4,473","3,865","-4,350","3,657","4,239"
,2002 / 2003,"72,273","54,896","34,913","7,338","4,932","3,866","-1,829","4,147","4,239"
,2003 / 2004,"74,364","56,411","44,555","7,854","5,044","3,864",-822,-924,"4,251"
,2004 / 2005,"75,422","55,857","43,418","8,113","4,994","3,865","-4,963",-911,"4,239"
,2005 / 2006,"78,481","53,373","42,001","8,353","4,968","3,867","-9,411","3,130","3,086"
,2006 / 2007,"83,108","56,417","45,080","9,448","7,206","2,199","-12,865","1,578","-4,907"
,2007 / 2008,"85,649","56,231","45,870","9,495","4,832","2,199","-11,682","7,143","-4,922"
,2008 / 2009,"88,676","57,309","46,508","9,179","4,646","2,198","-7,419","13,025","-4,908"
,2009 / 2010,"88,433","57,756","51,521","8,538","5,283","2,198","-3,258","7,445","-4,907"
,2010 / 2011,"88,611","60,332","53,390","9,815","5,479","2,198","-4,763","3,742","-1,754"
,2011 / 2012,"88,450","59,343","54,213","9,612","5,806","4,484","-6,915","5,178","17,282"
,2012 / 2013,"89,202","61,961","56,003","9,124","5,669","4,487","-10,431","2,142","17,234"
,2013 / 2014,"88,574","61,204","51,697","9,649","5,135","4,489","-14,312",785,"17,234"
,2014 / 2015,"87,376","65,324","45,509","10,556","5,137","4,486","-16,142",809,"17,234"
,2015 / 2016,"86,914","62,899","55,357","10,090","5,844","4,486","-11,118","5,982","14,826"
,2016 / 2017,"84,642","65,312","53,205","9,492","5,937","4,537","-8,127","16,561",0
,2017 / 2018,"83,920","67,950","47,906","9,605","6,006","4,592","-5,693","38,813",..
Ontario,1997 / 1998,"133,240","80,146","106,419","23,009","7,995","10,630","9,231","-2,595","2,255"
,1998 / 1999,"130,789","80,265","91,899","20,961","7,184","10,628","16,706","6,389","2,255"
,1999 / 2000,"131,083","81,145","116,744","20,947","7,514","10,630","22,369","15,804","2,261"
,2000 / 2001,"127,741","81,118","149,998","19,626","7,543","10,632","18,623","24,100","2,385"
,2001 / 2002,"128,946","80,988","152,823","20,990","11,102","12,759","5,354","16,410","3,258"
,2002 / 2003,"129,256","83,410","109,814","23,900","12,494","12,762",637,"21,995","3,259"
,2003 / 2004,"132,873","84,154","127,942","25,685","13,403","12,762","-6,935","4,967","3,267"
,2004 / 2005,"132,795","85,282","129,785","26,791","13,449","12,762","-11,172",479,"3,259"
,2005 / 2006,"133,775","83,752","133,062","29,822","15,589","12,763","-17,501",226,"5,599"
,2006 / 2007,"136,980","86,811","115,445","32,348","16,430","6,963","-20,047","2,071","21,829"
,2007 / 2008,"140,547","87,502","115,051","32,564","16,078","6,964","-14,750","10,770","21,889"
,2008 / 2009,"140,326","88,359","105,423","29,281","14,514","6,964","-15,601","16,533","21,829"
,2009 / 2010,"139,771","87,602","116,572","26,895","16,294","6,963","-4,662","12,747","21,829"
,2010 / 2011,"139,448","91,176","105,020","28,682","17,683","6,963","-4,007","14,726","20,446"
,2011 / 2012,"140,999","88,928","101,262","29,715","17,496","13,168","-10,611","24,073","12,157"
,2012 / 2013,"140,601","93,063","105,849","28,260","17,766","13,169","-13,901","16,449","12,123"
,2013 / 2014,"140,171","94,330","101,843","29,203","17,453","13,167","-14,564","10,692","12,123"
