"Detailed household final consumption expenditure, provincial and territorial, annual (x 1,000,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0225-01 (formerly CANSIM 384-0041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Reference period,Household final consumption expenditure,Food and non-alcoholic beverages,Food,Non-alcoholic beverages,"Alcoholic beverages, tobacco and cannabis",Alcoholic beverages,Tobacco,Cannabis products for non-medical use (licensed),Cannabis products for non-medical use (unlicensed),Clothing and footwear,"Clothing materials, other articles of clothing and clothing accessories",Garments,Cleaning of clothing,Footwear,"Housing, water, electricity, gas and other fuels",Paid rental fees for housing,Imputed rental fees for housing,Materials for the maintenance and repair of the dwelling,Services for the maintenance and repair of the dwelling,Water supply and sanitation services,Electricity,Gas,Other fuels,"Furnishings, household equipment and other goods and services related to the dwelling and property",Furniture and furnishings,Carpets and other floor coverings,Household textiles,Major household appliances,Small electric household appliances,Major tools and equipment,Small tools and miscellaneous accessories,Other semi-durable household goods,Other non-durable household goods,Repair of personal and household goods except vehicles,Renting and leasing of personal and household goods except passenger vehicles,Other services related to the dwelling and property,Health,Pharmaceutical products and other medical products (except cannabis),Cannabis products for medical use,Therapeutic appliances and equipment,Out-patient services,Hospital services,Transport,New passenger cars,"New trucks, vans and sport utility vehicles",Used motor vehicles,Other vehicles,Spare parts and accessories for vehicles,Fuels and lubricants,Maintenance and repair of vehicles,Parking,Passenger vehicle renting,Other services related to the operation of transport equipment,Urban transit and interurban bus,Taxi and limousine,Air transport,Railway and water transport,Other transport services,Communications,Postal services,Telecommunication equipment,Telecommunication services,Recreation and culture,Audio-visual and photographic equipment,Information processing equipment,Recording media,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden products, plants and flowers",Pets and pet food,Veterinary and other services for pets,Recreational and sporting services,"Cable, satellite and other program distribution services",Cinemas,Photographic services,Other cultural services,Games of chance,Books,Newspapers and periodicals,Miscellaneous printed matter and stationery and drawing materials,Education,University education,Other education,"Food, beverage and accommodation services",Food and non-alcoholic beverage services,Alcoholic beverage services,Accommodation services,Insurance and financial services,Life insurance,Property insurance,Health insurance,Insurance related to transport,Implicit loan charges,Implicit deposit charges,Stock and bond commissions,Other actual financial charges,Trusteed pension funds,Mutual funds,Miscellaneous goods and services,Personal grooming services,Electrical appliances for personal care,"Other appliances, articles and products for personal care","Jewellery, clocks and watches",Other personal effects,Child care services outside the home,Child care services in the home,Other social services and funeral services,Legal and other services,Net expenditure abroad,Expenditure by Canadians abroad,Expenditure by Canadians in other provinces or territories,Expenditure by non-residents in Canada,Expenditure by Canadians residing in other provinces or territories
,,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1997,"504,393.00","50,289.00","44,466.00","5,823.00","22,550.00","9,902.00","8,563.00",..,"4,085.00","25,837.00","2,334.00","18,759.00","1,359.00","3,385.00","120,517.00","26,717.00","74,081.00","1,376.00",155,"2,204.00","9,839.00","3,843.00","2,302.00","28,330.00","7,327.00",369,"1,794.00","2,891.00",813,"1,651.00","1,233.00","3,268.00","4,114.00","1,343.00","1,670.00","1,857.00","15,765.00","6,312.00",..,"1,388.00","7,033.00","1,032.00","72,886.00","13,439.00","13,354.00","5,464.00","1,302.00","6,546.00","15,344.00","4,265.00",970,644,711,"2,210.00",457,"6,572.00",358,"1,250.00","10,020.00",736,316,"8,968.00","46,741.00","5,379.00","2,202.00","1,789.00","3,338.00",807,"2,599.00","2,621.00","1,756.00","1,715.00",761,"4,616.00","2,852.00",573,805,"1,297.00","8,700.00","1,737.00","1,918.00","1,276.00","5,604.00","2,258.00","3,346.00","36,752.00","24,949.00","6,529.00","5,274.00","42,350.00","6,636.00",912,"2,955.00","3,919.00","6,071.00","7,292.00","1,969.00","5,312.00",993,"6,291.00","25,572.00","4,166.00",291,"7,106.00","2,216.00","1,477.00","2,352.00","1,056.00","3,598.00","3,310.00","1,180.00","15,972.00","5,057.00","-14,792.00","-5,057.00"
,1998,"524,727.00","52,125.00","45,889.00","6,236.00","23,905.00","10,478.00","9,164.00",..,"4,263.00","26,841.00","2,453.00","19,412.00","1,408.00","3,568.00","123,299.00","27,538.00","76,750.00","1,455.00",162,"2,358.00","9,523.00","3,540.00","1,973.00","30,034.00","7,874.00",403,"1,892.00","3,083.00",885,"1,721.00","1,293.00","3,482.00","4,279.00","1,431.00","1,753.00","1,938.00","17,140.00","6,951.00",..,"1,472.00","7,591.00","1,126.00","74,511.00","13,704.00","13,710.00","5,629.00","1,443.00","6,833.00","14,898.00","4,433.00","1,016.00",656,767,"2,291.00",471,"6,997.00",382,"1,281.00","10,929.00",781,348,"9,800.00","50,474.00","5,590.00","2,357.00","2,033.00","3,630.00",895,"2,894.00","2,876.00","1,856.00","1,804.00",819,"4,882.00","3,137.00",676,851,"1,368.00","9,652.00","1,891.00","1,944.00","1,319.00","6,028.00","2,472.00","3,556.00","39,069.00","26,742.00","6,704.00","5,623.00","44,709.00","6,980.00",740,"3,072.00","4,047.00","6,537.00","7,250.00","1,848.00","5,654.00","1,094.00","7,487.00","26,992.00","4,398.00",312,"7,491.00","2,398.00","1,571.00","2,405.00","1,090.00","3,804.00","3,523.00","-1,329.00","15,561.00","5,635.00","-16,890.00","-5,635.00"
,1999,"553,509.00","53,935.00","47,470.00","6,465.00","24,817.00","11,122.00","9,147.00",..,"4,548.00","28,012.00","2,572.00","20,346.00","1,384.00","3,710.00","128,038.00","28,497.00","79,345.00","1,552.00",180,"2,481.00","9,798.00","4,099.00","2,086.00","31,860.00","8,607.00",426,"1,929.00","3,308.00",951,"1,766.00","1,356.00","3,708.00","4,450.00","1,530.00","1,840.00","1,989.00","18,248.00","7,470.00",..,"1,531.00","8,071.00","1,176.00","81,184.00","15,540.00","15,419.00","5,698.00","1,498.00","7,264.00","16,907.00","4,697.00","1,080.00",688,863,"2,426.00",498,"6,849.00",413,"1,344.00","11,375.00",814,380,"10,181.00","54,180.00","6,004.00","2,531.00","2,141.00","3,879.00",942,"3,063.00","3,032.00","1,966.00","1,912.00",900,"5,148.00","3,476.00",745,889,"1,435.00","10,734.00","2,008.00","1,989.00","1,386.00","6,414.00","2,743.00","3,671.00","41,447.00","28,499.00","7,070.00","5,878.00","47,414.00","7,302.00",970,"3,289.00","4,033.00","7,323.00","6,956.00","2,010.00","6,136.00","1,247.00","8,148.00","28,460.00","4,613.00",336,"7,825.00","2,567.00","1,638.00","2,474.00","1,120.00","4,160.00","3,727.00","-1,875.00","16,492.00","6,022.00","-18,367.00","-6,022.00"
,2000,"589,028.00","56,513.00","50,136.00","6,377.00","25,801.00","11,660.00","9,301.00",..,"4,840.00","29,398.00","2,732.00","21,392.00","1,393.00","3,881.00","134,547.00","29,392.00","82,586.00","1,638.00",198,"2,609.00","10,249.00","5,134.00","2,741.00","33,864.00","9,366.00",446,"2,035.00","3,492.00",994,"1,857.00","1,425.00","3,898.00","4,610.00","1,642.00","2,001.00","2,098.00","19,684.00","8,136.00",..,"1,661.00","8,600.00","1,287.00","88,104.00","17,188.00","15,070.00","6,304.00","1,532.00","7,744.00","20,242.00","4,992.00","1,156.00",722,907,"2,615.00",524,"7,255.00",440,"1,413.00","12,645.00",856,463,"11,326.00","58,403.00","6,544.00","2,823.00","2,170.00","4,124.00",999,"3,246.00","3,227.00","2,149.00","2,046.00",967,"5,510.00","3,809.00",811,914,"1,530.00","11,917.00","2,110.00","2,052.00","1,455.00","6,788.00","2,972.00","3,816.00","44,276.00","30,579.00","7,394.00","6,303.00","50,718.00","7,892.00","1,008.00","3,553.00","3,883.00","7,989.00","6,901.00","2,494.00","6,780.00","1,388.00","8,830.00","29,814.00","4,917.00",348,"8,117.00","2,746.00","1,745.00","2,550.00","1,146.00","4,371.00","3,874.00","-1,527.00","18,324.00","6,895.00","-19,851.00","-6,895.00"
,2001,"615,179.00","59,751.00","53,075.00","6,676.00","27,600.00","12,349.00","10,139.00",..,"5,112.00","30,566.00","2,880.00","22,259.00","1,347.00","4,080.00","139,975.00","30,423.00","86,014.00","1,712.00",213,"2,757.00","10,132.00","6,170.00","2,554.00","35,838.00","10,027.00",471,"2,167.00","3,654.00","1,059.00","1,952.00","1,501.00","4,104.00","4,783.00","1,736.00","2,120.00","2,264.00","21,424.00","8,950.00",0,"1,758.00","9,333.00","1,383.00","89,487.00","17,854.00","15,201.00","6,570.00","1,577.00","8,215.00","19,885.00","5,295.00","1,214.00",752,993,"2,702.00",560,"6,746.00",462,"1,461.00","13,674.00",907,490,"12,277.00","61,417.00","6,865.00","2,756.00","2,278.00","4,374.00",943,"3,413.00","3,384.00","2,254.00","2,155.00","1,058.00","5,665.00","4,247.00",892,938,"1,576.00","12,782.00","2,220.00","2,087.00","1,530.00","7,183.00","3,185.00","3,998.00","46,176.00","32,005.00","7,739.00","6,432.00","51,954.00","7,704.00","1,081.00","3,480.00","3,699.00","8,803.00","6,925.00","2,008.00","7,136.00","1,577.00","9,541.00","31,279.00","5,184.00",369,"8,579.00","2,850.00","1,815.00","2,640.00","1,148.00","4,595.00","4,099.00","-1,145.00","19,315.00","7,518.00","-20,460.00","-7,518.00"
,2002,"651,605.00","62,288.00","55,337.00","6,951.00","30,895.00","13,215.00","12,308.00",..,"5,372.00","31,471.00","2,973.00","22,891.00","1,378.00","4,229.00","146,053.00","31,902.00","90,313.00","1,829.00",227,"2,946.00","11,180.00","5,260.00","2,396.00","38,462.00","10,831.00",527,"2,328.00","4,004.00","1,116.00","2,037.00","1,618.00","4,403.00","5,058.00","1,847.00","2,251.00","2,442.00","23,299.00","9,945.00",0,"1,922.00","9,974.00","1,458.00","96,257.00","19,981.00","18,032.00","6,899.00","1,686.00","8,739.00","20,241.00","5,566.00","1,319.00",826,"1,063.00","2,893.00",602,"6,410.00",501,"1,499.00","15,137.00",939,515,"13,683.00","64,682.00","7,220.00","2,618.00","2,488.00","4,657.00",979,"3,703.00","3,594.00","2,323.00","2,293.00","1,177.00","5,981.00","4,594.00",974,956,"1,655.00","13,362.00","2,397.00","2,134.00","1,577.00","7,803.00","3,568.00","4,235.00","48,016.00","33,281.00","7,965.00","6,770.00","55,832.00","7,615.00","1,182.00","3,815.00","4,212.00","9,200.00","7,580.00","1,780.00","7,996.00","1,851.00","10,601.00","33,153.00","5,510.00",388,"9,241.00","2,987.00","1,929.00","2,753.00","1,094.00","4,895.00","4,356.00","-1,743.00","19,259.00","8,394.00","-21,002.00","-8,394.00"
,2003,"681,207.00","64,659.00","57,472.00","7,187.00","32,954.00","13,938.00","13,409.00",..,"5,607.00","31,981.00","3,030.00","23,252.00","1,405.00","4,294.00","154,067.00","33,305.00","94,459.00","1,917.00",242,"3,087.00","11,423.00","6,868.00","2,766.00","40,404.00","11,355.00",552,"2,434.00","4,208.00","1,157.00","2,148.00","1,709.00","4,591.00","5,284.00","1,950.00","2,378.00","2,638.00","24,612.00","10,685.00",0,"2,077.00","10,327.00","1,523.00","99,502.00","18,843.00","18,003.00","8,896.00","1,798.00","9,201.00","21,643.00","5,982.00","1,404.00",880,"1,116.00","3,009.00",643,"6,066.00",483,"1,535.00","15,790.00",957,543,"14,290.00","66,558.00","7,412.00","2,639.00","2,669.00","4,863.00",998,"3,844.00","3,679.00","2,413.00","2,404.00","1,280.00","6,323.00","4,964.00",960,952,"1,741.00","13,259.00","2,425.00","2,135.00","1,598.00","8,516.00","4,064.00","4,452.00","48,283.00","33,586.00","8,065.00","6,632.00","57,839.00","7,655.00","1,345.00","4,067.00","4,962.00","9,705.00","8,259.00","2,065.00","8,506.00","1,919.00","9,356.00","34,498.00","5,723.00",399,"9,744.00","3,057.00","2,001.00","2,846.00","1,052.00","5,094.00","4,582.00","1,544.00","19,717.00","7,803.00","-18,173.00","-7,803.00"
,2004,"712,940.00","67,065.00","59,616.00","7,449.00","33,857.00","14,456.00","13,644.00",..,"5,757.00","32,830.00","3,113.00","23,901.00","1,401.00","4,415.00","161,047.00","34,656.00","99,112.00","2,015.00",261,"3,233.00","12,153.00","6,678.00","2,939.00","42,632.00","12,168.00",582,"2,500.00","4,333.00","1,228.00","2,283.00","1,823.00","4,790.00","5,511.00","2,052.00","2,541.00","2,821.00","26,487.00","11,508.00",0,"2,259.00","11,067.00","1,653.00","103,428.00","17,710.00","17,659.00","9,810.00","1,797.00","9,660.00","24,197.00","6,308.00","1,467.00",926,"1,181.00","3,230.00",752,"6,600.00",512,"1,619.00","16,813.00","1,029.00",579,"15,205.00","69,015.00","7,643.00","2,770.00","2,780.00","4,912.00","1,041.00","3,962.00","3,779.00","2,480.00","2,501.00","1,398.00","6,469.00","5,339.00",963,944,"1,823.00","13,964.00","2,454.00","2,148.00","1,645.00","9,087.00","4,426.00","4,661.00","50,733.00","35,331.00","8,302.00","7,100.00","62,240.00","7,780.00","1,478.00","4,349.00","5,446.00","10,190.00","8,480.00","2,404.00","9,209.00","2,172.00","10,732.00","36,390.00","6,092.00",427,"10,399.00","3,174.00","2,098.00","3,022.00","1,010.00","5,386.00","4,782.00","1,316.00","22,257.00","8,284.00","-20,941.00","-8,284.00"
,2005,"752,413.00","69,294.00","61,424.00","7,870.00","33,953.00","15,097.00","13,102.00",..,"5,754.00","33,901.00","3,235.00","24,647.00","1,395.00","4,624.00","169,179.00","35,905.00","103,783.00","2,178.00",264,"3,517.00","12,829.00","7,253.00","3,450.00","44,640.00","12,781.00",621,"2,569.00","4,478.00","1,304.00","2,422.00","1,900.00","4,917.00","5,742.00","2,158.00","2,710.00","3,038.00","28,531.00","12,389.00",0,"2,390.00","11,994.00","1,758.00","111,023.00","18,453.00","17,974.00","10,629.00","1,821.00","10,285.00","27,829.00","6,646.00","1,539.00",949,"1,238.00","3,450.00",785,"7,174.00",536,"1,715.00","18,072.00","1,062.00",613,"16,397.00","72,091.00","7,971.00","2,905.00","2,927.00","5,113.00","1,077.00","4,193.00","3,958.00","2,559.00","2,613.00","1,532.00","6,784.00","5,808.00",919,931,"1,908.00","14,479.00","2,530.00","2,158.00","1,726.00","9,662.00","4,668.00","4,994.00","53,076.00","36,835.00","8,609.00","7,632.00","66,978.00","7,938.00","1,521.00","4,498.00","5,776.00","11,125.00","8,727.00","2,851.00","9,847.00","2,354.00","12,341.00","38,203.00","6,399.00",454,"10,857.00","3,236.00","2,206.00","3,157.00",954,"5,729.00","5,211.00","3,810.00","24,584.00","8,697.00","-20,774.00","-8,697.00"
