election_id,event_number,electoral_district_number_numéro_de_circonscription,ballot_sequence_number,candidate_candidat,candidate_first_name_prénom_du_candidat,candidate_middle_name_second_prénom_du_candidat,candidate_family_name_nom_de_famille_du_candidat,candidate_gender_code,candidate_occupation_english_anglais,profession_du_candidat_français_french,incumbent_indicator,elected_indicator,candidate_residence_résidence_du_candidat,candidate_province_english_anglais,province_du_candidat_français_french,party_abbreviation_english_anglais,abréviation_de_parti_français_french
GE.36.1997,3600,ED10-001,1,Randy Dawe,Randy,Randy,Dawe,M,Businessperson,Personne d'affaires,N,N,Clarke's Beach,Newfoundland and Labrador,Terre-Neuve-et-Labrador,PC,PC
GE.36.1997,3600,ED10-001,2,Fraser March,Fraser,Fraser,March,M,Labour Relations Consultant,Consultant en relations de travail,N,N,Blaketown,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NDP,NPD
GE.36.1997,3600,ED10-001,3,Fred J. Mifflin,Fred,Fred,Mifflin,M,Politician,Politicien,Y,Y,Ottawa,Ontario,Ontario,Liberal,Libéral
GE.36.1997,3600,ED10-001,4,L. Christopher Randell,L.,L.,Randell,M,Medical Doctor,Médecin,N,N,Bonavista,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Nil,Nil
GE.36.1997,3600,ED10-002,1,Bill Matthews,Bill,Bill,Matthews,M,Teacher,Enseignant,N,Y,Mount Pearl,Newfoundland and Labrador,Terre-Neuve-et-Labrador,PC,PC
GE.36.1997,3600,ED10-002,2,Roger Simmons,Roger,Roger,Simmons,M,Educator,Éducateur,Y,N,Nepean,Ontario,Ontario,Liberal,Libéral
GE.36.1997,3600,ED10-002,3,David A. Sullivan,David,David,Sullivan,M,Teacher,Enseignant,N,N,Torbay,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NDP,NPD
GE.36.1997,3600,ED10-003,1,George Baker,George,George,Baker,M,Politician,Politicien,Y,Y,Gander,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Liberal,Libéral
GE.36.1997,3600,ED10-003,2,Todd Barker,Todd,Todd,Barker,M,Student,Étudiant,N,N,Grand Falls-Windsor,Newfoundland and Labrador,Terre-Neuve-et-Labrador,PC,PC
GE.36.1997,3600,ED10-003,3,Mary Shortall,Mary,Mary,Shortall,F,Customer Sales Agent,Représentante des ventes,N,N,St. John's,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NDP,NPD
