party_abbreviation_english_anglais,abréviation_de_parti_français_french,political_affiliation_name_english_anglais,appartenance_politique_français_french
AAEV,AAEV,Animal Alliance Environment Voters Party of Canada,Animal Alliance Environment Voters Party of Canada
ATN,ADN,Alliance of the North,Alliance du Nord
Bloc,Bloc,Bloc Québécois,Bloc Québécois
CHP,PHC,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada
Canada Party,Parti Canada,Canada Party,Parti Canada
CAP,PAC,Canadian Action Party,Parti Action Canadienne
Canadian Alliance,Alliance Canadienne,Canadian Reform Conservative Alliance,l'Alliance Réformiste Conservatrice Canadienne
Communist,Communiste,Communist Party of Canada,Parti Communiste du Canada
Conservative,Conservateur,Conservative Party of Canada,Parti Conservateur du Canada
DA,PADC,Democratic Advancement Party of Canada,Parti pour l'Avancement de la Démocratie au Canada
FD,FD,Forces et Démocratie,Forces et Démocratie
FPNP,FPNP,First Peoples National Party of Canada,First Peoples National Party of Canada
Green,Vert,Green Party of Canada,Le Parti Vert du Canada
Independent,Indépendent,Independent,Indépendent
Liberal,Libéral,Liberal Party of Canada,Parti Libéral du Canada
Libertarian,Libertarien,Libertarian Party of Canada,Parti Libertarien du Canada
Marijuana,Marijuana,Marijuana Party,Parti Marijuana
M-L,M-L,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada
NDP,NPD,NDP - New Democratic Party,NPD - Nouveau Parti Démocratique
NLP,PLN,Natural Law Party of Canada,Parti de la Loi Naturelle du Canada
neorhino,neorhino,neorhino.ca,neorhino.ca
NLFP,NLFP,Newfoundland and Labrador First Party,Newfoundland and Labrador First Party
Nil,Nil,No Affiliation,Aucune Appartenance
PACT,PRCT,"Party for Accountability, Competency and Transparency","Parti pour la Responsabilisation, la Compétence et la Transparence"
ProgCan,ProgCan,Progressive Canadian Party,Parti Progressiste Canadien
Pirate,Pirate,Pirate Party of Canada,Parti Pirate du Canada
PPP,PPP,People's Political Power Party of Canada,Pouvoir Politique du Peuple du Canada
PC,PC,Progressive Conservative Party of Canada,Parti Progressiste-Conservateur du Canada
Reform,Réforme,Reform Party of Canada,Le Parti Réformiste du Canada
Rhinoceros,Rhinocéros,Rhinoceros Party,Parti Rhinocéros
Seniors,Aînés,Seniors Party of Canada,Parti des Aînés du Canada
Bridge,PNLEC,The Bridge Party of Canada,Parti pour Nouer des Liens Entre Canadiens
UP,PU,United Party of Canada,Parti Uni du Canada
WBP,WBP,Western Bloc Party,Western Bloc Party
WLP,WLP,Work Less Party,Work Less Party
