election_id,event_number,canadian_province,province_canadienne,electoral_district_number_numéro_de_circonscription,electoral_district_name_english_anglais,electoral_district_name_english_anglais2,nom_de_circonscription_français_french,nom_de_circonscription_français_french2
GE.36.1997,3600,Alberta,Alberta,ED48-001,Athabasca,Athabasca,Athabasca,Athabasca
GE.36.1997,3600,Alberta,Alberta,ED48-002,Calgary Centre,Calgary Centre,Calgary-Centre,Calgary-Centre
GE.36.1997,3600,Alberta,Alberta,ED48-003,Calgary East,Calgary East,Calgary-Est,Calgary-Est
GE.36.1997,3600,Alberta,Alberta,ED48-004,Calgary Northeast,Calgary Northeast,Calgary-Nord-Est,Calgary-Nord-Est
GE.36.1997,3600,Alberta,Alberta,ED48-005,Calgary--Nose Hill,Calgary—Nose Hill,Calgary--Nose Hill,Calgary—Nose Hill
GE.36.1997,3600,Alberta,Alberta,ED48-006,Calgary Southeast,Calgary Southeast,Calgary-Sud-Est,Calgary-Sud-Est
GE.36.1997,3600,Alberta,Alberta,ED48-007,Calgary Southwest,Calgary Southwest,Calgary-Sud-Ouest,Calgary-Sud-Ouest
GE.36.1997,3600,Alberta,Alberta,ED48-008,Calgary West,Calgary West,Calgary-Ouest,Calgary-Ouest
GE.36.1997,3600,Alberta,Alberta,ED48-009,Crowfoot,Crowfoot,Crowfoot,Crowfoot
GE.36.1997,3600,Alberta,Alberta,ED48-010,Edmonton East,Edmonton East,Edmonton-Est,Edmonton-Est
GE.36.1997,3600,Alberta,Alberta,ED48-011,Edmonton North,Edmonton North,Edmonton-Nord,Edmonton-Nord
GE.36.1997,3600,Alberta,Alberta,ED48-012,Edmonton Southeast,Edmonton Southeast,Edmonton-Sud-Est,Edmonton-Sud-Est
GE.36.1997,3600,Alberta,Alberta,ED48-013,Edmonton Southwest,Edmonton Southwest,Edmonton-Sud-Ouest,Edmonton-Sud-Ouest
GE.36.1997,3600,Alberta,Alberta,ED48-014,Edmonton--Strathcona,Edmonton—Strathcona,Edmonton--Strathcona,Edmonton—Strathcona
GE.36.1997,3600,Alberta,Alberta,ED48-015,Edmonton West,Edmonton West,Edmonton-Ouest,Edmonton-Ouest
GE.36.1997,3600,Alberta,Alberta,ED48-016,Elk Island,Elk Island,Elk Island,Elk Island
GE.36.1997,3600,Alberta,Alberta,ED48-017,Lakeland,Lakeland,Lakeland,Lakeland
GE.36.1997,3600,Alberta,Alberta,ED48-018,Lethbridge,Lethbridge,Lethbridge,Lethbridge
GE.36.1997,3600,Alberta,Alberta,ED48-019,Macleod,Macleod,Macleod,Macleod
GE.36.1997,3600,Alberta,Alberta,ED48-020,Medicine Hat,Medicine Hat,Medicine Hat,Medicine Hat
GE.36.1997,3600,Alberta,Alberta,ED48-021,Peace River,Peace River,Peace River,Peace River
GE.36.1997,3600,Alberta,Alberta,ED48-022,Red Deer,Red Deer,Red Deer,Red Deer
GE.36.1997,3600,Alberta,Alberta,ED48-023,St. Albert,St. Albert,St. Albert,St. Albert
GE.36.1997,3600,Alberta,Alberta,ED48-024,Wetaskiwin,Wetaskiwin,Wetaskiwin,Wetaskiwin
GE.36.1997,3600,Alberta,Alberta,ED48-025,Wild Rose,Wild Rose,Wild Rose,Wild Rose
GE.36.1997,3600,Alberta,Alberta,ED48-026,Yellowhead,Yellowhead,Yellowhead,Yellowhead
GE.36.1997,3600,British Columbia,Colombie-Britannique,ED59-001,Burnaby--Douglas,Burnaby—Douglas,Burnaby--Douglas,Burnaby—Douglas
